geoid,name,B23025001,"B23025001, Error",B23025002,"B23025002, Error",B23025003,"B23025003, Error",B23025004,"B23025004, Error",B23025005,"B23025005, Error",B23025006,"B23025006, Error",B23025007,"B23025007, Error"
86000US19004,"19004",8226,571,5447,503,5434,505,5130,496,304,137,13,15,2779,482
86000US19102,"19102",6068,639,4704,617,4704,617,4637,618,67,49,0,17,1364,292
86000US19103,"19103",24627,1395,17626,1113,17589,1112,16981,1114,608,257,37,27,7001,749
86000US19104,"19104",48694,1804,27819,1520,27737,1512,25073,1500,2664,527,82,72,20875,1163
86000US19106,"19106",13979,1014,9530,964,9530,964,9209,983,321,152,0,19,4449,463
86000US19107,"19107",14434,937,10368,694,10348,691,9693,659,655,210,20,24,4066,561
86000US19108,"19108",130,104,105,81,105,81,105,81,0,12,0,12,25,38
86000US19109,"19109",0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US19111,"19111",50697,2286,32720,1863,32720,1863,30473,1827,2247,530,0,28,17977,1572
86000US19112,"19112",0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US19114,"19114",25131,1275,15865,1148,15865,1148,14978,1112,887,247,0,25,9266,607
86000US19115,"19115",29255,1610,17647,1424,17647,1424,16947,1363,700,387,0,25,11608,908
86000US19116,"19116",27582,1537,15956,1154,15956,1154,14866,1115,1090,324,0,25,11626,1019
86000US19118,"19118",8541,545,5522,417,5522,417,5291,428,231,99,0,17,3019,369
86000US19119,"19119",23228,1564,15097,1068,15088,1068,14208,1075,880,271,9,15,8131,899
86000US19120,"19120",49986,2922,31269,2045,31269,2045,28829,2003,2440,557,0,28,18717,1730
86000US19121,"19121",32673,2326,20696,1840,20650,1839,18242,1561,2408,744,46,62,11977,1293
86000US19122,"19122",22203,1248,13773,1112,13773,1112,12467,964,1306,414,0,22,8430,790
86000US19123,"19123",17941,1268,13368,1114,13368,1114,12879,1077,489,189,0,19,4573,674
86000US19124,"19124",51751,2814,31411,2409,31411,2409,27453,2171,3958,915,0,28,20340,1923
86000US19125,"19125",21792,1455,18144,1352,18108,1358,17586,1308,522,259,36,51,3648,500
86000US19126,"19126",14283,1401,8431,940,8431,940,7537,893,894,407,0,19,5852,858
86000US19127,"19127",5285,581,4428,579,4403,583,4323,587,80,54,25,39,857,267
86000US19128,"19128",33015,1852,24230,1662,24208,1659,23207,1599,1001,271,22,33,8785,786
86000US19129,"19129",10519,734,6741,552,6741,552,6095,543,646,212,0,19,3778,625
86000US19130,"19130",26855,1376,20805,1208,20805,1208,20150,1137,655,225,0,25,6050,773
86000US19131,"19131",35668,1735,19837,1340,19805,1333,18131,1202,1674,402,32,50,15831,1432
86000US19132,"19132",25903,1990,13626,1588,13583,1591,11576,1446,2007,652,43,51,12277,1274
86000US19133,"19133",19633,1629,9154,1196,9154,1196,7595,1025,1559,553,0,22,10479,976
86000US19134,"19134",42532,2636,21625,2046,21537,2044,20068,1980,1469,475,88,101,20907,1930
86000US19135,"19135",24890,1688,16726,1399,16726,1399,14660,1343,2066,488,0,25,8164,1050
86000US19136,"19136",27676,1685,15323,1218,15323,1218,13961,1105,1362,538,0,25,12353,1331
86000US19137,"19137",6443,703,3850,446,3850,446,3426,450,424,150,0,17,2593,394
86000US19138,"19138",24661,2199,15018,1905,15018,1905,13370,1902,1648,598,0,25,9643,1106
86000US19139,"19139",34781,2010,20462,1417,20453,1418,18293,1322,2160,458,9,14,14319,1345
86000US19140,"19140",41117,2703,21217,1934,21217,1934,17801,1588,3416,913,0,28,19900,1817
86000US19141,"19141",26498,2340,14904,1859,14895,1860,12951,1598,1944,754,9,13,11594,1459
86000US19142,"19142",21803,1474,14569,1406,14569,1406,12385,1074,2184,666,0,22,7234,660
86000US19143,"19143",49893,2208,31479,1909,31469,1909,29155,1649,2314,567,10,16,18414,1559
86000US19144,"19144",40940,1860,25068,1492,24917,1460,22393,1399,2524,538,151,153,15872,1175
86000US19145,"19145",36736,1567,24152,1347,24152,1347,22568,1316,1584,443,0,25,12584,1324
86000US19146,"19146",34722,1873,27645,1563,27618,1556,25826,1422,1792,499,27,46,7077,841
86000US19147,"19147",33589,1423,25814,1209,25793,1211,24541,1198,1252,286,21,26,7775,718
86000US19148,"19148",40318,1810,27836,1476,27823,1476,26070,1432,1753,423,13,24,12482,1054
86000US19149,"19149",42740,2169,28123,1930,28123,1930,24967,1822,3156,692,0,28,14617,1220
86000US19150,"19150",19681,1512,12900,1165,12900,1165,11705,1052,1195,421,0,22,6781,817
86000US19151,"19151",25446,1682,17616,1362,17462,1423,15915,1365,1547,603,154,199,7830,909
86000US19152,"19152",28532,2219,16972,1725,16972,1725,16196,1682,776,275,0,25,11560,998
86000US19153,"19153",10566,830,6238,816,6238,816,5555,769,683,278,0,19,4328,598
86000US19154,"19154",26125,1537,17609,1199,17609,1199,16595,1249,1014,292,0,25,8516,955
86000US19428,"19428",17456,630,13934,592,13929,592,13288,588,641,327,5,7,3522,449
86000US19444,"19444",9190,705,6170,626,6170,626,5777,619,393,274,0,19,3020,449
