Category: All categories

Month,inflation: (United States),unemployment benefits: (United States),recession: (United States)
2004-01,16,6,2
2004-02,18,5,2
2004-03,19,4,2
2004-04,21,4,2
2004-05,20,4,2
2004-06,16,4,2
2004-07,14,4,2
2004-08,14,4,2
2004-09,16,4,3
2004-10,16,4,3
2004-11,19,3,2
2004-12,17,3,2
2005-01,17,4,1
2005-02,19,4,2
2005-03,18,3,2
2005-04,21,3,2
2005-05,17,3,2
2005-06,15,3,2
2005-07,12,3,1
2005-08,14,3,2
2005-09,16,4,2
2005-10,18,3,2
2005-11,18,3,2
2005-12,17,3,2
2006-01,15,3,2
2006-02,16,3,2
2006-03,16,3,2
2006-04,18,3,2
2006-05,17,3,2
2006-06,15,3,2
2006-07,13,3,2
2006-08,12,3,2
2006-09,13,3,2
2006-10,15,3,2
2006-11,14,4,2
2006-12,14,3,2
2007-01,13,4,2
2007-02,15,4,3
2007-03,14,4,3
2007-04,14,4,2
2007-05,15,4,2
2007-06,12,4,1
2007-07,12,5,1
2007-08,11,5,3
2007-09,14,5,6
2007-10,16,5,4
2007-11,17,5,7
2007-12,15,6,7
2008-01,18,7,32
2008-02,19,6,14
2008-03,21,7,17
2008-04,21,7,15
2008-05,19,7,9
2008-06,18,9,7
2008-07,17,8,8
2008-08,14,8,8
2008-09,18,11,19
2008-10,20,15,28
2008-11,16,19,21
2008-12,16,19,26
2009-01,14,25,20
2009-02,18,28,24
2009-03,19,21,23
2009-04,17,19,19
2009-05,15,17,14
2009-06,15,20,11
2009-07,12,18,10
2009-08,11,21,10
2009-09,14,20,11
2009-10,15,23,12
2009-11,14,24,11
2009-12,14,19,9
2010-01,14,20,8
2010-02,15,19,9
2010-03,16,24,8
2010-04,16,20,8
2010-05,14,16,7
2010-06,10,24,6
2010-07,10,30,6
2010-08,10,14,6
2010-09,11,11,9
2010-10,14,11,7
2010-11,17,13,7
2010-12,14,20,5
2011-01,14,15,5
2011-02,17,13,5
2011-03,17,11,6
2011-04,20,11,6
2011-05,15,11,5
2011-06,12,11,6
2011-07,12,11,5
2011-08,12,11,10
2011-09,14,11,8
2011-10,15,10,8
2011-11,14,9,7
2011-12,13,10,5
2012-01,12,11,5
2012-02,14,9,5
2012-03,14,8,5
2012-04,15,8,5
2012-05,13,8,5
2012-06,11,8,4
2012-07,10,9,4
2012-08,10,8,4
2012-09,14,8,5
2012-10,15,8,6
2012-11,14,9,6
2012-12,13,15,4
2013-01,13,14,4
2013-02,15,9,4
2013-03,14,9,4
2013-04,15,8,5
2013-05,14,9,4
2013-06,11,9,3
2013-07,10,8,3
2013-08,11,7,3
2013-09,13,8,3
2013-10,15,9,4
2013-11,14,7,4
2013-12,15,10,3
