Category: All categories

Region,inflation: (1/1/04 - 2/4/26),unemployment benefits: (1/1/04 - 2/4/26),recession: (1/1/04 - 2/4/26)
District of Columbia,63%,17%,20%
Vermont,66%,15%,19%
Maine,65%,16%,19%
Delaware,59%,21%,20%
Idaho,64%,15%,21%
Connecticut,56%,25%,19%
Wyoming,69%,11%,20%
Utah,68%,10%,22%
Washington,60%,20%,20%
New York,48%,37%,15%
Kansas,61%,21%,18%
New Hampshire,61%,17%,22%
Massachusetts,59%,21%,20%
Michigan,60%,20%,20%
Indiana,62%,18%,20%
Rhode Island,59%,22%,19%
Minnesota,57%,24%,19%
New Jersey,49%,33%,18%
Iowa,63%,17%,20%
Oregon,62%,18%,20%
North Dakota,68%,13%,19%
Missouri,62%,19%,19%
Nebraska,63%,16%,21%
Maryland,57%,21%,22%
California,59%,18%,23%
Virginia,60%,19%,21%
Wisconsin,57%,24%,19%
Pennsylvania,56%,24%,20%
Arizona,59%,20%,21%
Alaska,63%,20%,17%
Ohio,60%,20%,20%
North Carolina,59%,20%,21%
Montana,64%,16%,20%
Colorado,58%,20%,22%
South Dakota,68%,12%,20%
Oklahoma,61%,21%,18%
Illinois,58%,21%,21%
Florida,59%,20%,21%
Tennessee,58%,22%,20%
New Mexico,51%,31%,18%
West Virginia,62%,20%,18%
Georgia,55%,25%,20%
Nevada,54%,24%,22%
Alabama,59%,20%,21%
Arkansas,59%,21%,20%
Texas,42%,42%,16%
Kentucky,49%,35%,16%
South Carolina,54%,27%,19%
Hawaii,58%,18%,24%
Louisiana,47%,37%,16%
Mississippi,52%,29%,19%
